date,red_fighter,blue_fighter,total_minutes,red_kd,red_sig_str_landed,red_sig_str_attempted,red_td_landed,red_td_attempted,red_sub_att,red_ctrl_seconds,blue_kd,blue_sig_str_landed,blue_sig_str_attempted,blue_td_landed,blue_td_attempted,blue_sub_att,blue_ctrl_seconds
2011-10-29,BJ Penn,Nick Diaz,15.0,0.0,88.0,164.0,1.0,4.0,0.0,85.0,0.0,178.0,350.0,0.0,0.0,0.0,203.0
2011-10-29,Cheick Kongo,Matt Mitrione,15.0,0.0,44.0,126.0,2.0,2.0,0.0,330.0,0.0,21.0,55.0,0.0,0.0,0.0,1.0
2011-10-29,Mirko Filipovic,Roy Nelson,11.5,0.0,30.0,59.0,0.0,1.0,0.0,27.0,0.0,32.0,75.0,2.0,2.0,0.0,256.0
2011-10-29,Scott Jorgensen,Jeff Curran,15.0,0.0,42.0,103.0,5.0,5.0,0.0,466.0,0.0,41.0,126.0,0.0,3.0,1.0,38.0
2011-10-29,Hatsu Hioki,George Roop,15.0,0.0,24.0,49.0,2.0,7.0,0.0,413.0,0.0,35.0,104.0,2.0,2.0,0.0,214.0
2011-10-29,Dennis Siver,Donald Cerrone,2.367,0.0,12.0,21.0,0.0,2.0,0.0,38.0,2.0,9.0,23.0,0.0,0.0,1.0,10.0
2011-10-29,Tyson Griffin,Bart Palaszewski,2.75,0.0,6.0,21.0,0.0,0.0,0.0,0.0,1.0,17.0,66.0,0.0,0.0,0.0,0.0
2011-10-29,Brandon Vera,Eliot Marshall,15.0,0.0,33.0,65.0,1.0,2.0,0.0,430.0,1.0,21.0,55.0,1.0,3.0,2.0,130.0
2011-10-29,Ramsey Nijem,Danny Downes,15.0,0.0,59.0,77.0,8.0,14.0,4.0,762.0,0.0,6.0,27.0,0.0,0.0,0.0,31.0
2011-10-29,Chris Camozzi,Francis Carmont,15.0,0.0,22.0,47.0,0.0,5.0,1.0,359.0,1.0,51.0,74.0,3.0,6.0,0.0,283.0
2011-10-29,Dustin Jacoby,Clifford Starks,15.0,0.0,18.0,72.0,0.0,0.0,0.0,0.0,0.0,26.0,82.0,3.0,3.0,0.0,352.0
2011-10-08,Frankie Edgar,Gray Maynard,18.9,1.0,61.0,176.0,0.0,11.0,0.0,15.0,1.0,42.0,170.0,0.0,2.0,0.0,16.0
2011-10-08,Jose Aldo,Kenny Florian,25.0,0.0,51.0,115.0,0.0,0.0,0.0,352.0,0.0,40.0,128.0,1.0,19.0,0.0,368.0
2011-10-08,Chael Sonnen,Brian Stann,8.85,0.0,28.0,38.0,4.0,6.0,1.0,471.0,0.0,2.0,8.0,0.0,0.0,0.0,18.0
2011-10-08,Leonard Garcia,Nam Phan,15.0,1.0,100.0,374.0,0.0,2.0,0.0,25.0,0.0,174.0,339.0,1.0,1.0,0.0,93.0
2011-10-08,Melvin Guillard,Joe Lauzon,0.783,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,19.0
2011-10-08,Demian Maia,Jorge Santiago,15.0,0.0,24.0,67.0,4.0,11.0,0.0,555.0,0.0,18.0,56.0,0.0,1.0,0.0,29.0
2011-10-08,Anthony Pettis,Jeremy Stephens,15.0,0.0,21.0,47.0,6.0,9.0,0.0,414.0,0.0,17.0,47.0,3.0,8.0,0.0,209.0
2011-10-08,Joey Beltran,Stipe Miocic,15.0,0.0,52.0,152.0,1.0,2.0,0.0,56.0,0.0,68.0,142.0,4.0,7.0,0.0,369.0
2011-10-08,Zhang Tiequan,Darren Elkins,15.0,0.0,2.0,18.0,0.0,0.0,3.0,45.0,0.0,27.0,49.0,1.0,6.0,3.0,786.0
2011-10-08,Aaron Simpson,Eric Schafer,15.0,2.0,58.0,140.0,0.0,0.0,0.0,31.0,0.0,14.0,102.0,0.0,0.0,0.0,0.0
2011-10-08,Steve Cantwell,Mike Massenzio,15.0,0.0,56.0,164.0,0.0,0.0,1.0,10.0,0.0,78.0,164.0,1.0,11.0,0.0,208.0
2011-10-01,Dominick Cruz,Demetrious Johnson,25.0,0.0,60.0,120.0,10.0,19.0,1.0,761.0,0.0,63.0,177.0,1.0,6.0,0.0,175.0
2011-10-01,Pat Barry,Stefan Struve,8.367,0.0,30.0,45.0,0.0,0.0,0.0,24.0,0.0,31.0,82.0,0.0,0.0,1.0,3.0
2011-10-01,Anthony Johnson,Charlie Brenneman,2.817,1.0,16.0,20.0,0.0,0.0,0.0,135.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
2011-10-01,Matt Wiman,Mac Danzig,15.0,0.0,93.0,141.0,2.0,7.0,1.0,246.0,0.0,66.0,107.0,2.0,6.0,1.0,297.0
