fight_id,date,event,fighter_a,fighter_b,winner,fighter_a_won,weight_class,method,round,fighter_a_pre_elo,fighter_b_pre_elo,elo_diff,fighter_a_expected_win_prob,fighter_b_expected_win_prob,fighter_a_age,fighter_b_age,age_diff,fighter_a_height,fighter_b_height,height_diff,fighter_a_reach,fighter_b_reach,reach_diff,fighter_a_prior_fights,fighter_b_prior_fights,prior_fights_diff,fighter_a_prior_wins,fighter_b_prior_wins,prior_wins_diff,fighter_a_prior_losses,fighter_b_prior_losses,prior_losses_diff,fighter_a_prior_win_pct,fighter_b_prior_win_pct,prior_win_pct_diff,fighter_a_wins_last_3,fighter_b_wins_last_3,wins_last_3_diff,fighter_a_win_pct_last_3,fighter_b_win_pct_last_3,win_pct_last_3_diff,fighter_a_wins_last_5,fighter_b_wins_last_5,wins_last_5_diff,fighter_a_win_pct_last_5,fighter_b_win_pct_last_5,win_pct_last_5_diff,fighter_a_days_since_last_fight,fighter_b_days_since_last_fight,days_since_last_fight_diff
5740,2014-08-23,UFC Fight Night: Bisping vs Le,Roland Delorme,Yuta Sasaki,Yuta Sasaki,0,Bantamweight,Submission,1,1511.069640883927,1500.0,11.069640883926922,0.5159251055227443,0.4840748944772557,30.68,24.88,5.800000000000001,175.3,177.8,-2.5,180.3,180.3,0.0,5,0,5,3,0,3,2,0,2,0.6,,,1,0,1,0.3333333333333333,,,3,0,3,0.6,,,70.0,,
5741,2014-08-23,UFC Fight Night: Bisping vs Le,Anying Wang,Colby Covington,Colby Covington,0,Welterweight,KO/TKO,1,1516.0,1500.0,16.0,0.5230095872975623,0.4769904127024377,23.39,26.5,-3.1099999999999994,182.9,180.3,2.5999999999999943,,182.9,,1,0,1,1,0,1,0,0,0,1.0,,,1,0,1,1.0,,,1,0,1,1.0,,,175.0,,
5742,2014-08-23,UFC Fight Night: Bisping vs Le,Yao Zhikui,Royston Wee,Royston Wee,0,Bantamweight,Decision - Split,3,1500.0,1516.0,-16.0,0.4769904127024377,0.5230095872975623,23.54,27.77,-4.23,165.1,170.2,-5.099999999999994,162.6,170.2,-7.599999999999994,0,1,-1,0,1,-1,0,0,0,,1.0,,0,1,-1,,1.0,,0,1,-1,,1.0,,,231.0,
5743,2014-08-23,UFC Fight Night: Bisping vs Le,Elizabeth Phillips,Milana Dudieva,Milana Dudieva,0,Women's Bantamweight,Decision - Split,3,1484.0,1500.0,-16.0,0.4769904127024377,0.5230095872975623,28.01,25.05,2.960000000000001,167.6,160.0,7.599999999999994,165.1,,,1,0,1,0,0,0,1,0,1,0.0,,,0,0,0,0.0,,,0,0,0,0.0,,,70.0,,
5715,2014-08-30,UFC 177: Dillashaw vs Soto,TJ Dillashaw,Joe Soto,TJ Dillashaw,1,Bantamweight,KO/TKO,5,1565.6590218738854,1500.0,65.65902187388542,0.5933818814131284,0.4066181185868716,28.56,27.44,1.1199999999999974,167.6,167.6,0.0,170.2,165.1,5.099999999999994,8,0,8,6,0,6,2,0,2,0.75,,,2,0,2,0.6666666666666666,,,4,0,4,0.8,,,98.0,,
5716,2014-08-30,UFC 177: Dillashaw vs Soto,Tony Ferguson,Danny Castillo,Tony Ferguson,1,Lightweight,Decision - Split,3,1558.9849234981205,1559.0287650742744,-0.043841576153909045,0.4999369069005191,0.5000630930994809,30.55,35.01,-4.459999999999997,180.3,175.3,5.0,193.0,180.3,12.699999999999989,6,10,-4,5,7,-2,1,3,-2,0.8333333333333334,0.7,0.13333333333333341,2,2,0,0.6666666666666666,0.6666666666666666,0.0,4,3,1,0.8,0.6,0.20000000000000007,98.0,126.0,-28.0
5717,2014-08-30,UFC 177: Dillashaw vs Soto,Bethe Correia,Shayna Baszler,Bethe Correia,1,Women's Bantamweight,KO/TKO,2,1531.2976013366472,1500.0,31.297601336647176,0.544919431744837,0.45508056825516296,31.19,34.06,-2.870000000000001,165.1,170.2,-5.099999999999994,162.6,,,2,0,2,2,0,2,0,0,0,1.0,,,2,0,2,1.0,,,2,0,2,1.0,,,126.0,,
5718,2014-08-30,UFC 177: Dillashaw vs Soto,Ramsey Nijem,Diego Ferreira,Diego Ferreira,0,Lightweight,KO/TKO,2,1530.7591530702791,1515.2946360657425,15.464517004536674,0.5222405433796907,0.4777594566203093,26.41,29.61,-3.1999999999999993,180.3,175.3,5.0,190.5,188.0,2.5,8,1,7,5,1,4,3,0,3,0.625,1.0,-0.375,2,1,1,0.6666666666666666,1.0,-0.33333333333333337,3,1,2,0.6,1.0,-0.4,141.0,63.0,78.0
5719,2014-08-30,UFC 177: Dillashaw vs Soto,Yancy Medeiros,Damon Jackson,Yancy Medeiros,1,Lightweight,Submission,2,1474.6325609373725,1500.0,-25.367439062627454,0.46355805433859815,0.5364419456614018,26.98,26.06,0.9200000000000017,177.8,180.3,-2.5,190.5,180.3,10.199999999999989,2,0,2,0,0,0,2,0,2,0.0,,,0,0,0,0.0,,,0,0,0,0.0,,,126.0,,
5720,2014-08-30,UFC 177: Dillashaw vs Soto,Lorenz Larkin,Derek Brunson,Derek Brunson,0,Middleweight,Decision - Unanimous,3,1478.075698875503,1517.398217691109,-39.322518815606145,0.44365074422907347,0.5563492557709265,27.99,30.65,-2.66,180.3,185.4,-5.099999999999994,182.9,195.6,-12.699999999999989,4,3,1,1,2,-1,3,1,2,0.25,0.6666666666666666,-0.41666666666666663,1,2,-1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,1,2,-1,0.25,0.6666666666666666,-0.41666666666666663,112.0,227.0,-115.0
